"170","Förchensee","0,03","Oberbayern","Rosenheim","47.82741,12.39225","BY","0"
"171","Förchensee","0,04","Oberbayern","Traunstein","47.70791,12.62007","BY","0"
"172","Forggensee","15,2","Schwaben","Ostallgäu","47.61473,10.73982","BY","0"
"173","Förmitztalsperre","1,16","Oberfranken","Hof","50.19624,11.91124","BY","0"
"174","Forsterweiher","0,03","Oberbayern","Ingolstadt","48.753694,11.376002","BY","0"
"175","Frankenhofner See","0,45","Schwaben","Unterallgäu","47.97504,10.64116","BY","0"
"176","Frechensee","0,12","Oberbayern","Weilheim-Schongau","47.80901,11.28725","BY","0"
"177","Freibergsee","0,18","Schwaben","Oberallgäu","47.38121,10.26724","BY","0"
"178","Freigerichtsseen (Ostsee)","0,3","Unterfranken","Aschaffenburg","50.08545,9.00631","BY","0"
"179","Freigerichtsseen (Westsee)","0,2","Unterfranken","Aschaffenburg","50.08435,8.99983","BY","0"
"180","Freudensee","0,07","Niederbayern","Passau","48.66319,13.63506","BY","0"
"181","Frickenhäuser See","0,01","Unterfranken","Rhön-Grabfeld","50.40304,10.23697","BY","0"
"182","Fridolfinger See","0,06","Oberbayern","Traunstein","47.99426,12.84366","BY","0"
"183","Friedberger Baggersee","0,18","Schwaben","Aichach-Friedberg","48.36312,10.96333","BY","0"
"184","Frillensee","0,01","Oberbayern","Garmisch-Partenkirchen","47.45405,10.9849","BY","0"
"185","Frillensee","0,04","Oberbayern","Traunstein","47.76631,12.8168","BY","0"
"186","Froschgrundsee","0,23","Oberfranken","Coburg","50.35101,11.02718","BY","0"
"187","Froschhauser See","0,16","Oberbayern","Garmisch-Partenkirchen","47.68664,11.22519","BY","0"
"188","Fuggerweiher","0,04","Schwaben","Unterallgäu","48.13378,10.24158","BY","0"
"189","Funtensee","0,03","Oberbayern","Berchtesgadener Land","47.4934,12.93991","BY","0"
"190","Gallaweiher","0,14","Oberbayern","Weilheim-Schongau","47.86483,11.25373","BY","0"
"191","Garchinger See","0,05","Oberbayern","München","48.26106,11.63877","BY","0"
"192","Gartensee","0,07","Oberbayern","Weilheim-Schongau","47.81701,11.3016","BY","0"
"193","Germeringer See","0,03","Oberbayern","Fürstenfeldbruck","48.13705,11.34407","BY","0"
"194","Goldbergsee Coburg","0,72","Oberfranken","Coburg","50.28089,10.93457","BY","0"
"195","Griessee","0,09","Oberbayern","Traunstein","47.9863,12.4436","BY","0"
"196","Gröbensee","0,06","Oberbayern","Weilheim-Schongau","47.81214,11.3","BY","0"
"197","Großer Alpsee","2,47","Schwaben","Oberallgäu","47.57189,10.18295","BY","0"
"198","Großer Arbersee","0,08","Niederbayern","Regen","49.09866,13.15553","BY","0"
"199","Großer Bischofsweiher (Dechsendorfer Weiher)","0,35","Mittelfranken","Erlangen","49.63248,10.95204","BY","0"
"200","Großer Brombachsee","8,7","Mittelfranken","Weißenburg-Gunzenhausen","49.130847,10.935173","BY","0"
"201","Großer Ostersee","1,17","Oberbayern","Weilheim-Schongau","47.78768,11.30267","BY","0"
"202","Großwelzheimer Badesee","0,13","Unterfranken","Aschaffenburg","50.05826,9.01742","BY","0"
"203","Grünsee","0,02","Oberbayern","Miesbach","47.651944,11.866389","BY","0"
"204","Grünsee","0,04","Oberbayern","Berchtesgadener Land","47.50228,12.95337","BY","0"
"205","Grüntensee","1,23","Schwaben","Oberallgäu","47.61843,10.44954","BY","0"
"206","Guggenberger See","0,54","Oberpfalz","Regensburg","48.97858,12.2204","BY","0"
"207","Guggersee","0,01","Schwaben","Oberallgäu","47.31697,10.24917","BY","0"
"208","Gustavsee","0,25","Unterfranken","Aschaffenburg","50.05476,8.99091","BY","0"
"209","Haarsee","0,06","Oberbayern","Weilheim-Schongau","47.81062,11.22142","BY","0"
"210","Haagsweiher","0,01","Mittelfranken","Nürnberger Land","49.3807,11.22918","BY","0"
"211","Hackensee","0,08","Oberbayern","Miesbach","47.84907,11.6419","BY","0"
"212","Hahnenkammsee","0,23","Mittelfranken","Weißenburg-Gunzenhausen","48.963889,10.720278","BY","0"
"213","Hapberger Weiher","0,01","Oberbayern","Weilheim-Schongau","47.84662,11.26084","BY","0"
"214","Happinger See","0,23","Oberbayern","Rosenheim","47.81661,12.12852","BY","0"
"215","Happinger-Au-See","0,12","Oberbayern","Rosenheim","47.82994,12.141136","BY","0"
"216","Happurger See","0,55","Mittelfranken","Nürnberger Land","49.4825,11.480556","BY","0"
"217","Harmatinger Weiher","0,15","Oberbayern","Bad Tölz-Wolfratshausen","47.88609,11.53017","BY","0"
"218","Hartsee","0,87","Oberbayern","Rosenheim","47.92682,12.36714","BY","0"
"219","Haslacher See","0,40","Oberbayern","Weilheim-Schongau","47.75025,10.78532","BY","0"
"220","Hausler See","0,01","Oberbayern","Freising","48.29062,11.7221","BY","0"
"221","Hegratsrieder See","0,1","Schwaben","Ostallgäu","47.61655,10.76626","BY","0"
"222","Heiligenwaldsee","0,14","Mittelfranken","Weißenburg-Gunzenhausen","49.12141,10.98839","BY","0"
"223","Heimstettener See","0,11","Oberbayern","München","48.15544,11.73876","BY","0"
"224","Herrensee","0,03","Oberbayern","Weilheim-Schongau","47.78303,11.3231","BY","0"
"225","Herrenwieser Weiher","0,06","Schwaben","Kempten","47.71566,10.25317","BY","0"
"226","Hinterbrühler See","0,03","Oberbayern","München","48.08578,11.54273","BY","0"
"227","Hintersee","0,16","Oberbayern","Berchtesgadener Land","47.60709,12.85435","BY","0"
"228","Hochstraßer See","0,18","Oberbayern","Rosenheim","47.81027,12.13268","BY","0"
"229","Hochwasserspeicher Liebenstein","0,88","Oberpfalz","Tirschenreuth","49.8101,12.33413","BY","0"
"230","Hödenauer See","0,04","Oberbayern","Rosenheim","47.62769,12.19122","BY","0"
"231","Höglwörther See","0,14","Oberbayern","Berchtesgadener Land","47.81588,12.84263","BY","0"
"232","Höllensteinsee","0,54","Niederbayern","Regen","49.12534,12.86829","BY","0"
"233","Höllsee","0,01","Oberbayern","Bad Tölz-Wolfratshausen","47.69142,11.35793","BY","0"
"234","Hörsteiner See","0,59","Unterfranken","Aschaffenburg","50.05826,9.03356","BY","0"
"235","Hofstätter See","0,58","Oberbayern","Rosenheim","47.90179,12.17525","BY","0"
"236","Hopfensee","1,94","Schwaben","Ostallgäu","47.60033,10.67226","BY","0"
"237","Hubersee","0,01","Oberbayern","Rosenheim","47.79204,12.04213","BY","0"
"238","Hubersee","0,09","Oberbayern","Weilheim-Schongau","47.76373,11.35089","BY","0"
"239","Hütsee","0,06","Oberfranken","Bamberg","49.94755,10.87488","BY","0"
"240","Huttlerweiher","0,05","Schwaben","Ostallgäu","47.66929,10.73206","BY","0"
"241","Ickinger Weiher","0,12","Oberbayern","Bad Tölz-Wolfratshausen","47.94901,11.45303","BY","0"
"242","Igelsbachsee","0,9","Mittelfranken","Weißenburg-Gunzenhausen","49.14988,10.89526","BY","0"
"243","Ilsesee","0,1","Schwaben","Augsburg","48.28302,10.90155","BY","0"
"244","Ingstetter Weiher","0,03","Schwaben","Neu-Ulm","48.25908,10.27548","BY","0"
"245","Irsingener See","0,29","Schwaben","Unterallgäu","48.02151,10.65305","BY","0"
"246","Isarstausee Tölz","0,24","Oberbayern","Bad Tölz-Wolfratshausen","47.76904,11.54088","BY","0"
"247","Ismaninger Speichersee","5,8","Oberbayern","Ebersberg","48.21701,11.74713","BY","0"
"248","Jägersee","0,04","Mittelfranken","Roth","49.37222,11.19267","BY","0"
"249","Joshofner Weiher","0,14","Oberbayern","Neuburg-Schrobenhausen","48.74979,11.22678","BY","0"
"250","Kahler See","0,12","Unterfranken","Aschaffenburg","50.06865,9.02055","BY","0"
"251","Kainzmühlsperre","0,17","Oberpfalz","Neustadt an der Waldnaab","49.575,12.298","BY","0"
"252","Kaisersee","0,05","Schwaben","Augsburg","48.41972,10.91819","BY","0"
"253","Kammerweiher","0,17","Oberpfalz","Amberg-Sulzbach","49.68822,11.56576","BY","0"
"254","Karlsfelder See","0,25","Oberbayern","Dachau","48.23682,11.4683","BY","0"
"255","Karpfsee","0,1","Oberbayern","Bad Tölz-Wolfratshausen","47.66562,11.30682","BY","0"
"256","Kastenseeoner See","0,07","Oberbayern","Ebersberg","47.992693,11.829697","BY","0"
"257","Kautsee","0,16","Oberbayern","Rosenheim","47.923,12.355","BY","0"
"258","Kieferer See","0,03","Oberbayern","Rosenheim","47.60867,12.20377","BY","0"
"259","Kinsegger Weiher","0,06","Oberbayern","Weilheim-Schongau","47.6882,10.73772","BY","0"
"260","Kirchsee","0,42","Oberbayern","Bad Tölz-Wolfratshausen","47.81926,11.61916","BY","0"
"261","Kirnbergsee","0,03","Oberbayern","Weilheim-Schongau","47.76565,11.34866","BY","0"
"262","Kitzelsee","0,01","Oberbayern","Ebersberg","48.012778,11.858611","BY","0"
"263","Kleiner Alpsee","0,09","Schwaben","Oberallgäu","47.56512,10.20175","BY","0"
"264","Kleiner Arbersee","0,06","Oberpfalz","Cham","49.12648,13.1202","BY","0"
"265","Kleiner Brombachsee","2,5","Mittelfranken","Weißenburg-Gunzenhausen","49.134553,10.877151","BY","0"
"266","Kleiner Olchinger See","0,06","Oberbayern","Fürstenfeldbruck","48.20251,11.35516","BY","0"
"267","Kleiner See","0,2","Schwaben","Lindau","47.5504,9.68673","BY","0"
"268","Kleinhesseloher See","0,09","Oberbayern","München","48.16053,11.59631","BY","0"
"269","Klostersee","0,07","Unterfranken","Main-Spessart","49.8037,9.61377","BY","0"
"270","Kochelsee","5,95","Oberbayern","Bad Tölz-Wolfratshausen","47.64504,11.33995","BY","0"
"271","Königssee","5,22","Oberbayern","Berchtesgadener Land","47.55776,12.97932","BY","0"
"272","Kögelweiher","0,09","Schwaben","Ostallgäu","47.62325,10.54981","BY","0"
"273","Koglweiher","0,02","Oberbayern","Bad Tölz-Wolfratshausen","47.81104,11.59051","BY","0"
